question_hash,active,topic,question_type,question_style,question,difficulty,marks,weightage,smart_syllabus
q_10_eng_ch6_lq_013,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Drug abuse is a growing problem in many countries, including Pakistan. It affects not only individuals but also families, schools, and societies as a whole. Drug abuse means the harmful or wrong use of drugs that can damage a person's health, behaviour, and life.",Medium,8,ELITE,1
q_10_eng_ch6_lq_014,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Drug abuse happens when a person uses illegal drugs. These drugs can include heroin, hashish, opium, ice, and even sleeping pills or painkillers taken without a doctor's advice. People who become addicted to these substances may find it hard to stop using them.",Medium,8,ELITE,1
q_10_eng_ch6_lq_015,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
There are many reasons why people start using drugs. One of the biggest reasons is lack of awareness. Many young people do not fully understand how dangerous drugs can be. They may try drugs out of curiosity or due to peer pressure from friends.",Medium,8,ELITE,1
q_10_eng_ch6_lq_016,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Unemployment and stress are other common causes. When people feel hopeless about their future, they may turn to drugs to escape from their problems. Some people also start using drugs because of family problems, pressure at school, or emotional pain.",Medium,8,ELITE,1
q_10_eng_ch6_lq_017,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Drug abuse has many harmful effects. First, it affects the health of the person taking drugs. It can damage the brain, heart, lungs, liver, and other parts of the body. Drug users often suffer from serious diseases and may even die from overdoses.",Medium,8,ELITE,1
q_10_eng_ch6_lq_018,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Second, drug abuse affects a person's behaviour. It can cause mood swings, depression, anger, and confusion. Many people who use drugs have trouble at school or work. They may lose interest in studying or earning a living.",Medium,8,ELITE,1
q_10_eng_ch6_lq_019,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Drug abuse affects both families and communities. When someone in a family becomes addicted to drugs, it causes stress and sadness for everyone else. Drug abuse also leads to crimes, accidents, and violence in society.",Medium,8,ELITE,1
q_10_eng_ch6_lq_020,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
One of the most worrying things is that many drug users are young people. Teenagers and university students are especially at risk. Some students start using drugs at parties or with friends, thinking it is fun. But later, they become addicted and cannot stop.",Medium,8,ELITE,1
q_10_eng_ch6_lq_021,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
The government is taking steps to fight drug abuse. The Anti-Narcotics Force works to stop the smuggling and sale of illegal drugs. The government also runs awareness campaigns in schools, colleges, and on television to educate people about the dangers of drugs.",Medium,8,ELITE,1
q_10_eng_ch6_lq_022,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
There are also rehabilitation centers where people can go to get help against drug addiction. These centers provide medical care and counseling to help people recover. Those who use drugs should be treated with care, not hate.",Medium,8,ELITE,1
q_10_eng_ch6_lq_023,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
The fight against drug abuse cannot be won by the government alone. Families, teachers, and communities all have an important role to play. Parents should talk openly with their children about the dangers of drugs and create a safe and loving environment at home.",Medium,8,ELITE,1
q_10_eng_ch6_lq_024,1,ENGLISH_A | Unit 6 - Drug Abuse | BISE Board Pattern | Q3 Textbook Paragraph | Rewrite in Simple English,Long,rewrite_simple_english,"Rewrite the following passage in simple English:
Drug abuse is a serious challenge in Pakistan, especially for the youth. It destroys health, education, families, and society. But this problem can be solved if we work together. Everyone deserves a chance to live a healthy and happy life.",Medium,8,ELITE,1
